what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347436676235
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347436676258
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347436677196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1347436693303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347436693315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347436707876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1347436712024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347436712035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347436723792
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1347436870368
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347436871404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347437052446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347437236710
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1347437240408
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347437240429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347437484823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347517067465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347517068985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347525815954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347525815993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347525818725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347525825394
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347525828321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347525828334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347525830055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347525856898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347525941059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1347525955478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347525966630
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.override.methods",1347525970746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347525970761
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1347525973645
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1347525974754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347525976042
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1347525979543
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1347525979605
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1347525979606
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1347525979619
started,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1347525979627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347525982412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347526014432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347526020024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347526141225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347526189187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347526189834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347526191482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347526218090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347526225242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347526243842
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1347526251695
